,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success,isDoll
2069,"p[-0.409708,0.269336,0.52,-0.3,3.14,0]","p[-0.658454,0.155749,0.52,-0.3,3.14,0]",-2.27246,1,0,1,2,3,0,255,"p[-9.77788,-10.2295,11.5335,1.53725,-3.11993,-1.32376]",1,1.0
2070,"p[-0.444979,-0.145699,0.52,-0.3,3.14,0]","p[-0.657115,0.204817,0.52,-0.3,3.14,0]",-0.722337,1,0,1,3,3,0,255,"p[-13.4742,-5.63187,15.4523,0.394417,-3.67822,-0.691616]",0,1.0
2071,"p[-0.67592,0.120619,0.52,-0.3,3.14,0]","p[-0.532931,-0.0113933,0.52,-0.3,3.14,0]",1.64551,1,0,1,1,3,0,255,"p[-23.7712,-8.48787,21.8489,1.5555,-4.47955,0.935616]",0,1.0
2072,"p[-0.588163,-0.0857793,0.52,-0.3,3.14,0]","p[-0.548548,0.19668,0.52,-0.3,3.14,0]",2.87678,1,0,1,2,3,0,255,"p[-7.22992,-11.2773,8.48782,0.653355,-0.887256,-2.21831]",1,1.0
2073,"p[-0.348733,0.0367515,0.52,-0.3,3.14,0]","p[-0.391025,-0.0453685,0.52,-0.3,3.14,0]",-2.60045,1,0,1,2,3,0,255,"p[-3.90319,-18.2687,12.8545,2.56167,-3.18057,-1.78012]",1,1.0
2074,"p[-0.676115,0.223793,0.52,-0.3,3.14,0]","p[-0.400661,-0.0419038,0.52,-0.3,3.14,0]",-1.89852,1,0,1,3,3,0,255,"p[-10.2902,-21.3144,13.9744,3.23035,-2.4391,-1.25862]",0,1.0
2075,"p[-0.611216,0.143639,0.52,-0.3,3.14,0]","p[-0.52976,0.174872,0.52,-0.3,3.14,0]",-1.89097,1,0,1,1,3,0,255,"p[-18.7155,-5.78772,14.6633,-0.314266,-3.70194,-1.18385]",1,1.0
2076,"p[-0.629527,0.0673303,0.52,-0.3,3.14,0]","p[-0.665929,0.0842065,0.52,-0.3,3.14,0]",-0.322201,1,0,1,3,3,0,255,"p[-26.7105,-8.80658,23.2404,0.934797,-4.33712,-1.47208]",0,1.0
2077,"p[-0.672211,0.253265,0.52,-0.3,3.14,0]","p[-0.466441,-0.172657,0.52,-0.3,3.14,0]",-0.708509,1,0,1,3,3,0,255,"p[-9.09136,-19.2066,10.6823,3.13964,-1.79001,-1.29891]",0,1.0
2078,"p[-0.669356,0.148511,0.52,-0.3,3.14,0]","p[-0.490314,0.251032,0.52,-0.3,3.14,0]",-1.28101,1,0,1,1,3,0,255,"p[-18.1752,-8.54872,19.7716,-1.40162,-4.96659,-1.38419]",0,1.0
2079,"p[-0.557752,0.203093,0.52,-0.3,3.14,0]","p[-0.497734,0.0205962,0.52,-0.3,3.14,0]",-1.46354,1,0,1,1,3,0,255,"p[-4.27111,-7.07442,5.30072,0.975885,-0.844231,-0.0539443]",1,1.0
