,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success
6962,"p[-0.314817,-0.38367,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499966,-1.50973,2.68364,-9.1752e-05]",2.53929,1,0,1,3,3,0,255,"p[-9.20539,-22.6989,6.64216,2.57347,-1.07034,-1.34621]",0
6963,"p[-0.346572,-0.288961,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499979,-1.5099,2.68364,5.03071e-07]",-0.470811,1,0,1,3,3,0,255,"p[-8.57948,-21.85,4.18176,2.01595,-0.00402813,-1.9765]",0
6964,"p[-0.407699,-0.409462,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499974,-1.50974,2.68371,-0.000131782]",1.94674,1,0,1,3,3,0,255,"p[-11.081,-22.4613,7.30696,2.08306,-0.840841,0.28772]",0
6965,"p[-0.539556,-0.33683,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500026,-1.5097,2.68372,-0.000162195]",2.49155,1,0,1,3,3,0,255,"p[-9.40803,-22.9197,8.97335,3.13425,-1.95149,-0.149485]",0
6966,"p[-0.459228,-0.406525,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.50004,-1.50967,2.68385,-0.000167364]",-0.291637,1,0,1,3,3,0,255,"p[-6.40851,-24.1582,7.28609,3.65815,-0.423887,-2.83294]",0
6967,"p[-0.509805,-0.260814,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499997,-1.50975,2.68378,2.28586e-05]",1.46663,1,0,1,3,3,0,255,"p[-6.79958,-24.7783,3.82085,1.83131,0.434478,-2.50573]",0
6968,"p[-0.425573,-0.377066,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500022,-1.50986,2.68377,-7.48637e-05]",-2.06084,1,0,1,3,3,0,255,"p[-9.23601,-24.2607,8.33915,3.21335,-1.65791,-0.62428]",0
6969,"p[-0.347478,-0.519485,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499986,-1.50945,2.68374,-0.000112952]",2.51723,1,0,1,3,3,0,255,"p[-9.57521,-24.8386,10.1537,3.51032,-1.96182,-0.68792]",0
6970,"p[-0.399121,-0.478962,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499987,-1.50969,2.68375,-6.02683e-05]",0.385328,1,0,1,3,3,0,255,"p[-9.09965,-30.3217,11.6443,3.18392,-0.626624,-2.52122]",0
6971,"p[-0.356831,-0.377391,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499931,-1.50969,2.68357,-0.000143804]",-1.13087,1,0,1,3,3,0,255,"p[-9.30996,-26.193,7.41228,3.08504,-0.330597,-2.05684]",0
